,Unnamed: 0,nama,deskripsi,latitude,longitude,accuracy,kode_kat,iddesa,no,kode,jenis
18194,348,posyandu,kp.cimaragas rt.002 rw.006,-7.2446738,107.90953867,3.0,30020011,3205140018,31,2,Posyandu
18195,349,posyandu melati,kp. nagrog,-7.37546408,108.16502626,3.2160000801086426,30020011,3206191004,31,2,Posyandu
18196,350,posyandu hebras,posyandu hebras depan SDN Sindangsari,-7.368274147529463,108.1612865254283,3.2160000801086426,30020011,3206191005,31,2,Posyandu
18197,351,POSYANDU MELATI 3,RT 006 RW 001,-7.364726666666668,108.641585,1.2999999523162842,30020011,3279040005,31,2,Posyandu
18198,352,posyandu,wiraseca pagerageung wetan,-7.11390383,108.17019018,3.2160000801086426,30020011,3206270012,31,2,Posyandu
18199,353,posyandu,posyandu rt 03 rw 04,-7.20886119,108.12364781,3.2160000801086426,30020011,3206231005,31,2,Posyandu
18200,354,Posyandu Gandasoli,Kp. gandasoli RT. 01 RW. 04,-7.55795086,107.82603128,3.0,30020011,3205090005,31,2,Posyandu
18201,355,Posyandu Ikan Kada 1,Polindes,-7.71934044,107.96788786,9.648000717163086,30020011,3206010002,31,2,Posyandu
18202,356,Posyandu Buntal,Dekat Rumah Bapak RT,-7.67370778,108.07148769,3.2160000801086426,30020011,3206010010,31,2,Posyandu
18203,357,20011,POS YANDU MELATI,-7.255463333333334,107.90384333333334,1.8999999761581416,30020011,3205140017,31,2,Posyandu
18204,358,posyandu mawar IV,rt001/rw004,-6.839041666666668,107.13193666666666,1.7000000476837158,30020011,3203200002,31,2,Posyandu
18205,359,POSYANDU CEMPAKA,RT 001 RW 008,-7.46849197,107.54171859,3.2160000801086426,30020011,3205030006,31,2,Posyandu
18206,360,Posyandu Cempaka 6,Posyandu Cempaka 6 Kp Tarikolot rt 04 rw 06,-7.30692384,107.77945464,3.2160000801086426,30020011,3205160006,31,2,Posyandu
18207,361,Posyandu,dekat kali kecil,-6.189324497245253,107.04589845612644,6.0,30020011,3216082005,31,2,Posyandu
18208,362,Posyandu Mawar Putih,posyandu mawar putih,-7.07537267,107.99691158,3.2160000801086426,30020011,3205260007,31,2,Posyandu
18209,363,POSYANDU PONTREN,KP.MUNJUL KULON RT.002 RW.012,-7.24781952,107.87792539,4.550999641418457,30020011,3205140015,31,2,Posyandu
18210,364,posyandu puspasari,samping mesjid jami al-muthainnah,-7.338975,108.24367333333332,1.100000023841858,30020011,3278031001,31,2,Posyandu
18211,365,posyandu,posyandu anggrek 4,-6.55164359,107.72181887,3.2160000801086426,30020011,3213081005,31,2,Posyandu
18212,366,POSYANDU ANGGREK,DEPAN MASJID AL KHOERIYAH,-7.34408932,107.91665502,3.0,30020011,3205140001,31,2,Posyandu
18213,367,POSYANDU,POSYANDU ANGGREK,-7.139831855893135,108.17264115437864,4.0,30020011,3206270007,31,2,Posyandu
18214,368,POSYANDU MELATI,KP CIKIJING RT 03 RW 01,-7.119212347517268,108.19178391247988,3.0,30020011,3206270013,31,2,Posyandu
18215,369,Posyandu Mawar 1,Terletak diatas Sungai Cikaret ( Irigasi ).,-6.83452162,107.13562871,3.2160000801086426,30020011,3203200002,31,2,Posyandu
18216,370,POSYANDU PALASARI 8,POSYANDU PALASARI 8,-6.98437072,107.99864536,3.2160000801086426,30020011,3205300007,31,2,Posyandu
18217,371,Posyandu,Posyandu Kenanga 4,-7.376110000000001,107.99080166666666,2.0,30020011,3206110011,31,2,Posyandu
18218,372,POSYANDU NURUL HUDA,POSYANDU,-7.148137767658774,108.01180881528194,12.0,30020011,3205220007,31,2,Posyandu
18219,373,Posyandu Sakura,Posyandu Samping SD Negeri Widurikencana,-6.81863173,107.13458403,3.2160000801086426,30020011,3203200007,31,2,Posyandu
18220,374,posyandu mekarsari IV,jln lurah arlan depan majlis taklim asyafiyah,-6.55060199,107.65847576,3.2160000801086426,30020011,3213080004,31,2,Posyandu
18221,375,posyandu mawar,belakang taman pancaniti,-6.82411567,107.13943808,4.550999641418457,30020011,3203200007,31,2,Posyandu
18222,376,Posyandu,posyandu Ancol kulon,-7.166533333333333,108.02389333333332,1.7000000476837158,30020011,3205221001,31,2,Posyandu
18223,377,POSYANDU,DEKAT POS RONDA,-7.13736382,107.99413155,3.2160000801086426,30020011,3205220008,31,2,Posyandu
18224,378,posyandu,kenanga 2,-7.365399999999998,108.53728,1.7000000476837158,30020011,3279010005,31,2,Posyandu
18225,379,Posyandu Srikandi,Posyandu Srikandi,-6.70451069,108.36757792,3.2160000801086426,30020011,3209211003,31,2,Posyandu
18226,380,Posyandu Melati,Posyandu Melati,-7.359681072232965,108.13355449587108,3.2160000801086426,30020011,3206191006,31,2,Posyandu
18227,381,POSYANDU MEKARJAYA,RT 002 RW 005,-7.38826492,108.01980606,3.2160000801086426,30020011,3206110010,31,2,Posyandu
18228,382,POS YANDU,POS YANDU PANYINGKIRAN,-7.155553769815157,108.03507283329964,4.550999641418457,30020011,3205220006,31,2,Posyandu
18229,383,landmark,posyandu raja,-7.499218333333332,107.85701333333331,1.399999976158142,30020011,3205111003,31,2,Posyandu
18230,384,POSYANDU CINTA ASIH,RUMAH BU MIMIN,-7.287088333333332,107.89341333333331,1.7000000476837158,30020011,3205140011,31,2,Posyandu
18231,385,Posyandu Matahari,RT 002 RW 004,-7.5700381,108.1057014,3.2160000801086426,30020011,3206071001,31,2,Posyandu
18232,386,Pos Yandu Nusa Indah,Depan Rumah Bu Ade,-6.82930619,107.14468951,4.0,30020011,3203200003,31,2,Posyandu
18233,387,POSYANDU,POSYANDU PLAMBOYAN 3,-7.365845505902128,108.01185630261898,7.199999809265138,30020011,3206110016,31,2,Posyandu
18234,388,Posyandu Sakura 3,Tempat Imunisasi,-6.73618483,106.82416033,10.720000267028809,30020011,3201090002,31,2,Posyandu
18235,389,Posyandu Sakura 10,Kp. Cisalopa RT 004 RW 002,-6.73436777,106.82189171,3.2160000801086426,30020011,3201090002,31,2,Posyandu
18236,390,POSYANDU DAHLIA,POSYANDU,-7.12012848,108.00057942,3.2160000801086426,30020011,3205220013,31,2,Posyandu
18237,391,posyandu,jln pojok utara posyandu anjelir rt 02 rw 16,-6.8747406362972985,107.5356401503086,2.400000095367432,30020011,3277020004,31,2,Posyandu
18238,392,Posyandu Harum Sari,Posyandu Harum Sari,-6.70033761,108.37066399,3.2160000801086426,30020011,3209211003,31,2,Posyandu
18239,393,Posyandu Mawar,Posyandu Mawar Di Rumah Pak Kusdiat,-7.353286910802126,107.49037586152556,7.0,30020011,3205010013,31,2,Posyandu
18240,394,Posyandu Cendrawasih,RT 001 RW 009,-7.330003541438661,108.22077557444574,4.0,30020011,3278050004,31,2,Posyandu
18241,395,posyandu nusaindah 8 20011,posyandu nusaindah 8 di smpng rmh bpk enjen,-6.499073200000001,106.9071743,1.5,30020011,3201200011,31,2,Posyandu
18242,396,posyandu teratai,rt005 rw 002,-6.510281666666668,106.86765333333332,1.2999999523162842,30020011,3201200006,31,2,Posyandu
18243,397,Posyandu kenanga 5,posyandu kenanga 5,-7.375696666666666,107.98757666666668,1.2999999523162842,30020011,3206110011,31,2,Posyandu
18244,398,POSYANDU BAMBU KUNING,Rt 003 Rw 005,-7.33419469,108.20625683,3.0,30020011,3278050002,31,2,Posyandu
18245,399,posyandu mawar 2,posyandu,-6.81493357,107.13107442,3.2160000801086426,30020011,3203200007,31,2,Posyandu
18246,400,Posyandu Alhidayah,posyandu,-7.24567677,107.14558271,4.550999641418457,30020011,3203061002,31,2,Posyandu
18247,401,Posyandu RW 01,bangunan kesehatan,-7.01917052,107.59966148,3.2160000801086426,30020011,3204170002,31,2,Posyandu
18248,402,POSYANDU MELATI 3,TEMPAT IMUNISASI,-7.364833333333332,108.641585,1.7000000476837158,30020011,3279040005,31,2,Posyandu
