,Unnamed: 0,nama,deskripsi,latitude,longitude,accuracy,kode_kat,iddesa,no,kode,jenis
0,279,Warung nasi  TO Ibu Engkay,Kp. Rahayu Rt 009 Rw 004,-7.37440453,108.15410318,4.550999641418457,30020001,3206191003,21,2,Rumah sakit
1,280,Mesjid Jamie Persatuan Islam,Depan Lapangan Bola,-7.702636666666666,108.03875166666668,1.600000023841858,30020001,3206010008,21,2,Rumah sakit
2,281,TKQ Annur,bangunan pendidikan,-6.80639731,107.14626558,3.2160000801086426,30020001,3203200005,21,2,Rumah sakit
3,282,rumah sakit,rumah sakit banjar patroman dekat waterpark,-7.36176078,108.53529812,3.2160000801086426,30020001,3279010005,21,2,Rumah sakit
4,283,Rumah Sakit,Rt. 01 Rw. 01,-6.4829083333333335,106.87033999999998,5.400000095367432,30020001,3201200014,21,2,Rumah sakit
5,1635,RB BP Aisyiyah,Rumah sakit,-7.349511015895687,108.11691474169491,9.0,30020001,3206190012,21,2,Rumah sakit
6,1636,Rumah Sakit Mursid Ibnu Syafiuddin,Rumah Sakit,-6.49563953,108.47415023,3.2160000801086426,30020001,3212090010,21,2,Rumah sakit
7,1637,RS BHAYANGKARA,Rumah sakit polri,-6.818954400000001,107.14062394,3.2160000801086426,30020001,3203200007,21,2,Rumah sakit
8,2959,rsud cimacan,rumah sakit,-6.720661007044847,107.0321449264884,2.0999999046325684,30020001,3203221004,21,2,Rumah sakit
9,2960,Deden Collection,Grosir dan Eceran Pakaian,-6.859120284207165,108.2925368193537,6.0,30020001,3210090001,21,2,Rumah sakit
10,2961,TKQ Darussa'adah,dekat jalan raya,-6.79834187,106.74764594,3.0,30020001,3202240002,21,2,Rumah sakit
11,2962,RS AMC,20001,-6.94104108,107.75579043,3.0,30020001,3204290005,21,2,Rumah sakit
12,4291,RS.Dr.HAFIZ,jln raya pramuka,-6.797766666666666,107.17567,5.199999809265137,30020001,3203190014,21,2,Rumah sakit
13,4292,klinik nurhayati kadungora,terletak d jalan baru kadungora,-7.08278731,107.89648954,3.0,30020001,3205280004,21,2,Rumah sakit
14,4293,Mesjid AlFalah,Infrastruktur 1 di rt 002 rw 014,-6.70929177,107.45678131,3.2160000801086426,30020001,3217140012,21,2,Rumah sakit
15,5582,KGGP Pamarican,koprasi,-7.457595462910831,108.52583703584968,5.0,30020001,3207120004,21,2,Rumah sakit
16,5583,Warung Seblak Parni,Gg. Hj Asim,-6.467988956719638,106.90240446478128,3.0,30020001,3201181003,21,2,Rumah sakit
17,6966,Rumah sakit mitra Idaman,Rumah sakit mitra Idaman,-7.3710916666666675,108.538125,3.299999952316284,30020001,3279010006,21,2,Rumah sakit
18,6967,rumah sakit,RS.herbal,-7.452414999999999,107.14202333333331,1.5,30020001,3203020006,21,2,Rumah sakit
19,6968,TK Patal Banjaran,TK Patal dekat masjid attaqwa,-7.028520425016537,107.59496591985226,3.0,30020001,3204170001,21,2,Rumah sakit
20,8300,infrastruktur,mesjid jamie,-7.21166647,108.40630707,3.2160000801086426,30020001,3207260001,21,2,Rumah sakit
21,8301,infrastruktur,masjid,-7.19807949,108.40040602,3.2160000801086426,30020001,3207260001,21,2,Rumah sakit
22,8302,mashid zainab almuwaddah,depan SMK Niko Alfarisi,-7.36169688,108.13711522,3.2160000801086426,30020001,3206191006,21,2,Rumah sakit
23,8303,Rumah Sakit Umum Daerah Dokter Soekardjo,rt 01 rw 08,-7.33249772,108.22517301,4.550999641418457,30020001,3278040003,21,2,Rumah sakit
24,8304,Rumah Sakit Nanda Syifa,RS Nanda Syifa 001/007,-6.38024836,106.68912277,3.2160000801086426,30020001,3201250008,21,2,Rumah sakit
25,8305,mesjid al muhajirin,infrastruktur,-7.22778047,106.59846443,3.2160000801086426,30020001,3202021002,21,2,Rumah sakit
26,8306,RS. Awal Bros Bekasi Timur,Terletak di Jl.HM.Joyomartono,-6.260179718764126,107.02022508707634,6.0,30020001,3275040005,21,2,Rumah sakit
27,9621,warung bakso Rt 04 Rw 04,Warung bakso Bi Aam,-6.72810579,107.01287576,3.2160000801086426,30020001,3203221005,21,2,Rumah sakit
28,9622,Warung Nasi  Ibu Omah,40002,-6.907523386180401,107.58796392939983,6.0,30020001,3273190005,21,2,Rumah sakit
29,10952,rumah sakit paru paru,rumah sakit,-6.72452089,108.55737118,3.0,30020001,3274040005,21,2,Rumah sakit
30,10953,WARUNG JUICE TEH LENA,DEKAT RUMAH TEH YULI,-7.563918353989719,107.920754654333,2.5,30020001,3205100003,21,2,Rumah sakit
31,10954,TK PLUS AS - SILMI,Taman pendidikan kanak kanak,-6.97606999,108.18468457,9.0,30020001,3210010006,21,2,Rumah sakit
32,12292,INFRASTRUKTUR,MASJID JAMI ALHAFIDZIYAH,-6.78116361,106.74261084,5.360000133514403,30020001,3202240006,21,2,Rumah sakit
33,13599,Baso mas Bejo,Mie Baso mas Bejo,-7.026969194412232,107.597666233778,5.0,30020001,3204170001,21,2,Rumah sakit
34,14925,INFRASTRUKTUR,warung bakso pa RT 001/010,-6.78079169,106.74622172,3.2160000801086426,30020001,3202240006,21,2,Rumah sakit
35,16259,RS. Kartika Kasih,Terletak disamping Cafe Pawon Sunda,-6.921805490662341,106.92381452769042,4.0,30020001,3272030003,21,2,Rumah sakit
36,16260,infrastuktur,masjid jami baiturrahman rt06/rw03,-7.1430702,108.443464,3.2160000801086426,30020001,3207190010,21,2,Rumah sakit
37,16261,Rumah sakit SANTOSA,Rumah Sakit,-6.916123333333332,107.60032833333337,2.799999952316284,30020001,3273180006,21,2,Rumah sakit
38,16262,Rumah Sakit IMC,RS. IMC terletak di samping Pom Bensin,-6.863290000000001,107.50991166666668,1.5,30020001,3217100001,21,2,Rumah sakit
39,16263,WARUNG SEBLAK B. LELA,WARUNG SEBLAK B. LELA,-7.450476666666666,108.18796333333331,1.0,30020001,3206130004,21,2,Rumah sakit
